Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnotes,Measure Start Date,Measure End Date
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,3,37,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
12001F,"TRIPLER ARMY MEDICAL CENTER, FT. SHAFTER",1 JARRETT WHITE ROAD ,HONOLULU,HI,96859,HONOLULU,(808) 433-2778,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,259,149,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,105,148,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Preventive Care,IMM-2,Influenza Immunization,45,237,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,112,435,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,38,475,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,9,33,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
17002F,"IRWIN ARMY COMMUNITY HOSPITAL, FT. RILEY",650 HUEBNER ROAD,FORT RILEY,KS,66442,GEARY,(785) 239-7000,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,296,234,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,60,224,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Preventive Care,IMM-2,Influenza Immunization,77,363,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,153,457,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,65,485,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,103,15,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,0,19,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
18003F,"BLANCHFIELD ARMY COMMUNITY HOSPITAL, FT. CAMPBELL",650 JOEL DRIVE,FORT CAMPBELL,KY,42223,MONTGOMERY,(270) 798-8400,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,242,150,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,89,124,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Preventive Care,IMM-2,Influenza Immunization,44,244,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,82,479,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,29,442,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,0,25,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
19050F,"BAYNES JONES ARMY COMMUNITY HOSPITAL, FT. POLK",1585 THIRD STREET,FORT POLK,LA,71459,VERNON,(337) 531-3118,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,379,393,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,148,383,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Preventive Care,IMM-2,Influenza Immunization,48,476,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,180,438,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,46,496,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,133,17,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,0,26,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
21007F,"WALTER REED NATIONAL MEDICAL CENTER, BETHESDA",8901 WISCONSIN AVENUE,BETHESDA,MD,20889,MONTGOMERY,(301) 295-4000,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,306,322,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,157,311,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Preventive Care,IMM-2,Influenza Immunization,79,309,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,102,491,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,19,499,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,11,28,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
25039F,"81ST MEDICAL GROUP, KEESLER","301 FISHER STREET, ROOM 1A132",KEESLER AFB,MS,39534,HARRISON,(228) 377-6393,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,287,125,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,110,107,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Preventive Care,IMM-2,Influenza Immunization,69,154,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,121,331,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,35,338,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
26002F,"GENERAL LEONARD WOOD ARMY COMMUNITY HOSPITAL, FT. LEONARD WOOD",126 MISSOURI AVENUE,FORT LEONARD WOOD,MO,65473,PULASKI,(573) 596-0035,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
